Date,AUBANK,AXISBANK,BANDHANBNK,BANKBARODA,FEDERALBNK,HDFCBANK,ICICIBANK,IDFCFIRSTB,INDUSINDBK,KOTAKBANK,PNB,SBIN,BANKNIFTY,eig1,eig2,eig3,eig4,eig5,eig6
2018-03-28,-0.007387184840212058,-0.003319016009371456,-0.01635734507706832,-0.00974251913709101,-0.018701870187018743,-0.0034344288280672153,-0.019549137020077323,-0.028717948717948638,0.004781344368638862,-0.0019526599037957837,-0.041729512317747686,-0.017495576960880665,-0.006990216561656659,,,,,,
2018-04-02,0.03931402685649554,-0.022428991185112657,0.014177593007141942,-0.0028109627547435734,0.011210762331838486,0.023911775621653142,-0.05927788755164365,0.012671594508975703,0.004368999582579525,0.0465260545905708,0.01049317943336825,-0.015006002400960394,0.0026851197382060654,,,,,,
2018-04-03,-0.020547945205479312,0.005009518084360343,0.016291780533949973,0.024312896405919604,0.014966740576496607,-0.007922535211267623,0.031315638724460415,0.016684045881126153,0.013908899479109005,0.006155670056084972,-0.008826583592938642,0.017672151127361424,0.007485048400024619,,,,,,
2018-04-04,0.01064844246662422,-0.018542518193599866,0.005378012203950844,-0.037495700034399615,-0.0016384489350080855,-0.01703637976929906,-0.005184225143492038,-0.01025641025641022,-0.016587418702519563,-0.022659294842744537,-0.011000523834468257,-0.012774451097804396,-0.015548374988780256,,,,,,
2018-04-05,0.026576505739896117,0.02204164550533272,0.04762884476905671,0.056468906361687,0.022975929978118037,0.013614689421534987,0.03722315280104227,0.02590673575129543,0.020896434823686416,0.03709542798850052,0.02754237288135597,0.04852405984634056,0.02612155245653658,,,,,,
2018-04-06,0.0071997549019608975,-0.00576426157821508,-0.001865671641791078,0.017591339648173276,0.04010695187165769,0.007595997695007517,0.007177462766911891,0.007070707070707005,-0.0069680720759954795,0.0008047929893588712,0.05309278350515467,0.001542614731970593,0.004577985282595343,,,,,,
2018-04-09,0.029961977186311772,0.03818472610955603,0.012198721101819965,0.01928191489361697,0.01285347043701801,0.008141832172194885,0.0007126313914129767,0.010030090270812364,0.01970780911657477,-0.0008488205861330034,0.03034752814488484,0.003658067000384957,0.008871011512413984,,,,,,
2018-04-10,-0.008712344949793449,0.05170421721548246,0.008164058703469701,-0.0003261578604044635,-0.017766497461928932,-0.009396305426340623,0.028306925405020333,-0.014895729890764597,-0.006531906886726446,-0.004113570310753323,-0.00047505938242276,0.010166890466142497,0.00530011397237562,,,,,,
2018-04-11,-0.008342022940562965,-0.01162684244255241,0.028632025450689325,-0.017292006525285508,0.02428940568475446,-0.00104121113679434,-0.014716066481994416,-0.0040322580645162365,0.00422089342244103,0.011179454945449585,-0.028517110266159662,-0.023737181921762218,-0.0050957711640001735,,,,,,
2018-04-12,0.017725702268288845,0.01658021489440542,0.0023430178069352436,-0.011620185922974757,-0.004540867810292504,0.0051906360092555115,0.0077315058864873,-0.010121457489878583,0.0011046746598410984,0.007548175117662703,-0.009295499021526488,-0.012643454580820834,0.003858834779317144,,,,,,
